STAID,DRAIN_SQKM,BFI_AVE,area_bin,BFI_bin,LAT_GAGE,LNG_GAGE,STATE,HUC02,request_success,request_http_status,request_error,usgs_site_valid,has_parameter_00060,returned_observation_count,first_timestamp_utc,last_timestamp_utc,native_timestep_minutes,native_timestep_share,inferred_timestep_mode,hourly_values_count,expected_hourly_count,hourly_completeness_pct,units_original,units_output,unit_conversion_applied,completeness_class,preliminary_status,rbi,max_hourly_dqdt_m3s_per_hr,normalized_max_hourly_dqdt,q95_event_count,q99_event_count,notes,probe_stratum_x,probe_rank_in_stratum_x,probe_order,probe_stratum_y,probe_rank_in_stratum_y,probe_stratum,probe_rank_in_stratum
11465690,8.7327,29.74503,1-10 km²,20-30,38.40214,-122.73304,CA,18,True,200,,True,True,20448,2023-10-01T08:00:00+00:00,2024-05-01T07:45:00+00:00,15.0,1.0,sub-hourly,5112,8784,58.197,ft3/s,m3/s,True,INSUFFICIENT,INSUFFICIENT,,,,,,Hourly completeness below 70%; RBI metrics withheld; Native sub-hourly data required hourly resampling,1-10 km² | 20-30,1.0,1.0,1-10 km² | 20-30,1.0,,
08158045,3.8016,21.0,1-10 km²,20-30,30.300556,-97.685556,TX,12,True,200,,True,True,608,2023-10-05T10:05:00+00:00,2024-08-04T21:10:00+00:00,5.0,0.9505766062602965,sub-hourly,76,8784,0.865,ft3/s,m3/s,True,INSUFFICIENT,INSUFFICIENT,,,,,,Hourly completeness below 70%; RBI metrics withheld; Native sub-hourly data required hourly resampling,1-10 km² | 20-30,2.0,2.0,1-10 km² | 20-30,2.0,,
07010090,9.4149,23.0,1-10 km²,20-30,38.576694,-90.323528,MO,07,True,200,,True,True,103362,2023-10-01T05:00:00+00:00,2024-10-01T04:55:00+00:00,5.0,0.999100240903242,sub-hourly,8693,8784,98.964,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.616346980615097,28.817110881791997,237.1771518257697,436.0,87.0,Native sub-hourly data required hourly resampling,1-10 km² | 20-30,3.0,3.0,1-10 km² | 20-30,3.0,,
03288500,6.0012,25.88227,1-10 km²,20-30,38.02091053,-84.59383055,KY,05,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,1-10 km² | 20-30,4.0,4.0,1-10 km² | 20-30,4.0,,
01403535,3.708,28.88519,1-10 km²,20-30,40.64027778,-74.4475,NJ,02,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,1-10 km² | 20-30,5.0,5.0,1-10 km² | 20-30,5.0,,
01021200,242.8407,58.00851,100-1000 km²,>50,44.90148889,-67.24761944,ME,01,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,100-1000 km² | >50,5.0
01021470,16.1001,54.91011,10-100 km²,>50,44.800833,-67.725,ME,01,True,200,,True,True,20390,2023-10-01T04:00:00+00:00,2024-10-01T03:45:00+00:00,15.0,0.9997057236745304,sub-hourly,5098,8784,58.037,ft3/s,m3/s,True,INSUFFICIENT,INSUFFICIENT,,,,,,Hourly completeness below 70%; RBI metrics withheld; Native sub-hourly data required hourly resampling,,,,,,10-100 km² | >50,5.0
01022330,264.8124,49.43397,100-1000 km²,40-50,44.740833,-68.013333,ME,01,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,100-1000 km² | 40-50,5.0
01037380,39.0231,50.0,10-100 km²,40-50,44.329167,-69.060833,ME,01,True,200,,True,True,23818,2023-10-01T04:15:00+00:00,2024-10-01T02:00:00+00:00,15.0,0.987781836503338,sub-hourly,6172,8784,70.264,ft3/s,m3/s,True,PARTIAL_USABLE,PARTIAL_USABLE,0.03891540935297298,9.6730347958272,6.83241929563867,309.0,62.0,Native sub-hourly data required hourly resampling,,,,,,10-100 km² | 40-50,5.0
01093800,9.3897,45.43305,1-10 km²,40-50,42.8600847,-71.8328544,NH,01,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,1-10 km² | 40-50,5.0
01104475,2.0808,57.64014,1-10 km²,>50,42.354541,-71.268112,MA,01,True,200,,True,True,40681,2023-10-01T04:00:00+00:00,2024-10-01T03:45:00+00:00,15.0,0.8133480825958702,sub-hourly,8779,8784,99.943,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.03196089800206381,0.1777203365184969,4.093026139598969,439.0,88.0,Native sub-hourly data required hourly resampling,,,,,,1-10 km² | >50,5.0
01209761,3.3138,45.92558,1-10 km²,40-50,41.17454,-73.51151,CT,01,True,200,,True,True,33059,2023-10-01T06:45:00+00:00,2024-10-01T03:45:00+00:00,15.0,0.9972472623873193,sub-hourly,8329,8784,94.82,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.05699304388266187,2.750273725248,30.951307369937588,417.0,84.0,Native sub-hourly data required hourly resampling,,,,,,1-10 km² | 40-50,4.0
01361500,252.7428,34.75975,100-1000 km²,30-40,42.4045257,-74.15152654,NY,02,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,100-1000 km² | 30-40,5.0
01383500,75.3111,43.41,10-100 km²,40-50,41.16027778,-74.3336111,NJ,02,True,200,,True,True,35136,2023-10-01T04:00:00+00:00,2024-10-01T03:45:00+00:00,15.0,1.0,sub-hourly,8780,8784,99.954,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.01247500348924939,2.534357769984,1.0243343843728971,439.0,88.0,Native sub-hourly data required hourly resampling,,,,,,10-100 km² | 40-50,4.0
01393500,49.4001,29.32753,10-100 km²,20-30,40.6683333,-74.2194444,NJ,02,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,10-100 km² | 20-30,5.0
01394500,67.09879,30.41303,10-100 km²,30-40,40.6875,-74.3116667,NJ,02,True,200,,True,True,35102,2023-10-01T04:00:00+00:00,2024-10-01T03:45:00+00:00,15.0,0.9997435970485171,sub-hourly,8780,8784,99.954,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.1124843582252564,24.923072527948797,15.473574057707197,439.0,88.0,Native sub-hourly data required hourly resampling,,,,,,10-100 km² | 30-40,5.0
01395000,107.8884,28.93074,100-1000 km²,20-30,40.61888889,-74.2833333,NJ,02,True,200,,True,True,35085,2023-10-01T04:00:00+00:00,2024-10-01T03:45:00+00:00,15.0,0.9996009577015164,sub-hourly,8779,8784,99.943,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.06580236285947637,15.439760604288,5.91471205944857,440.0,89.0,Native sub-hourly data required hourly resampling,,,,,,100-1000 km² | 20-30,5.0
01403150,5.0409,30.89466,1-10 km²,30-40,40.6122222,-74.5908333,NJ,02,True,200,,True,True,104887,2023-10-01T04:00:00+00:00,2024-10-01T03:55:00+00:00,5.0,0.9993230745762065,sub-hourly,8764,8784,99.772,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.3055993255387179,13.280719038508801,124.95671324592062,439.0,88.0,Native sub-hourly data required hourly resampling,,,,,,1-10 km² | 30-40,5.0
01427500,286.6103,45.82587,100-1000 km²,40-50,41.7609216,-75.04822266,NY,02,True,200,,True,True,33562,2023-10-01T05:00:00+00:00,2024-10-01T04:45:00+00:00,15.0,0.9869789338815887,sub-hourly,8697,8784,99.01,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.04480274841026246,57.568149121536,9.668780179904049,435.0,87.0,Native sub-hourly data required hourly resampling,,,,,,100-1000 km² | 40-50,4.0
01589100,6.426,44.13908,1-10 km²,40-50,39.24,-76.69219444,MD,02,True,200,,True,True,105138,2023-10-01T04:00:00+00:00,2024-10-01T03:55:00+00:00,5.0,0.9998668404082293,sub-hourly,8769,8784,99.829,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.3804655508439626,10.6950369840768,81.8000928139955,439.0,88.0,Native sub-hourly data required hourly resampling,,,,,,1-10 km² | 40-50,3.0
01644371,1.1826,53.0,1-10 km²,>50,39.231495,-77.255817,MD,02,True,200,,True,True,95261,2023-10-01T04:00:00+00:00,2024-10-01T03:55:00+00:00,5.0,0.996777241234516,sub-hourly,8170,8784,93.01,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.12280908069725935,0.7738522226150399,43.03467432870832,409.0,83.0,Native sub-hourly data required hourly resampling,,,,,,1-10 km² | >50,4.0
01650500,54.7587,50.55009,10-100 km²,>50,39.06566667,-77.0293333,MD,02,True,200,,True,True,34895,2023-10-01T04:00:00+00:00,2024-10-01T03:45:00+00:00,15.0,0.9981372155671462,sub-hourly,8754,8784,99.658,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.14071053240648548,18.54753451776,30.465070281984197,438.0,88.0,Native sub-hourly data required hourly resampling,,,,,,10-100 km² | >50,4.0
02094775,9.8253,35.15627,1-10 km²,30-40,36.031111,-79.796111,NC,03,True,200,,True,True,100896,2023-10-01T04:00:00+00:00,2024-10-01T03:55:00+00:00,5.0,0.9869864710838,sub-hourly,8652,8784,98.497,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.35222978761837703,15.529430618495997,63.53538845477887,433.0,87.0,Native sub-hourly data required hourly resampling,,,,,,1-10 km² | 30-40,4.0
02244420,274.2952,46.95683,100-1000 km²,40-50,29.32195556,-81.385275,FL,03,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,100-1000 km² | 40-50,3.0
02248000,93.5172,45.57856,10-100 km²,40-50,29.05054068,-81.04672325,FL,03,True,200,,True,True,35128,2023-10-01T04:00:00+00:00,2024-10-01T03:45:00+00:00,15.0,0.9999145956102143,sub-hourly,8779,8784,99.943,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.016018183117933835,4.013913004416002,4.134436386524485,439.0,88.0,Native sub-hourly data required hourly resampling,,,,,,10-100 km² | 40-50,3.0
02307668,7.7247,32.0,1-10 km²,30-40,27.979742,-82.742323,FL,03,True,200,,True,True,35131,2023-10-01T04:00:00+00:00,2024-10-01T03:45:00+00:00,15.0,0.9998576715058355,sub-hourly,8780,8784,99.954,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.2472808406235261,16.168919404032,82.35535660618925,443.0,88.0,Native sub-hourly data required hourly resampling,,,,,,1-10 km² | 30-40,3.0
02331600,819.7617,66.73144,100-1000 km²,>50,34.54072222,-83.622775,GA,03,True,200,,True,True,34801,2023-10-01T04:00:00+00:00,2024-10-01T03:45:00+00:00,15.0,0.9982471264367816,sub-hourly,8738,8784,99.476,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.032136942713538605,107.67480916608,5.516605029989518,437.0,88.0,Native sub-hourly data required hourly resampling,,,,,,100-1000 km² | >50,4.0
03085213,46.5246,35.51124,10-100 km²,30-40,40.432847,-80.029498,PA,05,True,200,,True,True,0,,,,,sparse,0,8784,0.0,ft3/s,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,10-100 km² | 30-40,4.0
03115973,9.0279,43.36686,1-10 km²,40-50,41.10311,-81.60318,OH,05,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,1-10 km² | 40-50,2.0
03127500,949.8933,38.4876,100-1000 km²,30-40,40.3861774,-81.34705536,OH,05,True,200,,True,True,35125,2023-10-01T04:00:00+00:00,2024-10-01T03:45:00+00:00,15.0,0.9997722355084843,sub-hourly,8780,8784,99.954,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.007866460212640317,4.247526988799997,0.35509623983257527,440.0,88.0,Native sub-hourly data required hourly resampling,,,,,,100-1000 km² | 30-40,4.0
03238772,7.3044,16.76097,1-10 km²,<=20,38.98667,-84.36528,KY,05,True,200,,True,True,34551,2023-10-01T04:00:00+00:00,2024-10-01T03:45:00+00:00,15.0,0.9967293777134587,sub-hourly,8693,8784,98.964,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.3031197978745308,7.593233205761281,125.80489983720192,435.0,87.0,Native sub-hourly data required hourly resampling,,,,,,1-10 km² | <=20,5.0
03302050,10.6821,23.0,10-100 km²,20-30,38.047848,-85.857185,KY,05,True,200,,True,True,35128,2023-10-01T04:00:00+00:00,2024-10-01T03:45:00+00:00,15.0,0.9999430637401429,sub-hourly,8780,8784,99.954,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.1474864060795215,6.95751999977088,75.79788756760726,439.0,88.0,Native sub-hourly data required hourly resampling,,,,,,10-100 km² | 20-30,4.0
03302500,330.3756,23.16117,100-1000 km²,20-30,38.27645522,-86.10969403,IN,05,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,100-1000 km² | 20-30,4.0
03350100,47.304,32.44357,10-100 km²,30-40,40.10142591,-86.0860987,IN,05,True,200,,True,True,0,,,,,sparse,0,8784,0.0,,m3/s,False,INSUFFICIENT,NO_DATA,,,,,,No 00060 observations returned for the probe window,,,,,,10-100 km² | 30-40,3.0
03586500,423.4077,35.45457,100-1000 km²,30-40,34.67009046,-87.31724293,AL,06,True,200,,True,True,35103,2023-10-01T05:00:00+00:00,2024-10-01T04:45:00+00:00,15.0,0.9992023246538658,sub-hourly,8779,8784,99.943,ft3/s,m3/s,True,RBI_READY,RBI_READY,0.029944597275852986,11.503718928000001,1.6625639724127435,439.0,88.0,Native sub-hourly data required hourly resampling,,,,,,100-1000 km² | 30-40,3.0
